"GRID_TYPE" "GAME_ID" "GAME_EVENT_ID" "PLAYER_ID" "PLAYER_NAME" "TEAM_ID" "TEAM_NAME" "PERIOD" "MINUTES_REMAINING" "SECONDS_REMAINING" "EVENT_TYPE" "ACTION_TYPE" "SHOT_TYPE" "SHOT_ZONE_BASIC" "SHOT_ZONE_AREA" "SHOT_ZONE_RANGE" "SHOT_DISTANCE" "LOC_X" "LOC_Y" "SHOT_ATTEMPTED_FLAG" "SHOT_MADE_FLAG" "GAME_DATE" "HTM" "VTM"
"1" "Shot Chart Detail" "0021400014" "50" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "7" "29" "Made Shot" "Running Jump Shot" "2PT Field Goal" "Mid-Range" "Left Side(L)" "8-16 ft." 10 -81 72 "1" "1" "20141029" "SAC" "GSW"
"2" "Shot Chart Detail" "0021400014" "74" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "5" "9" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Center(C)" "24+ ft." 25 65 246 "1" "0" "20141029" "SAC" "GSW"
"3" "Shot Chart Detail" "0021400014" "176" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "8" "49" "Made Shot" "Driving Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 2 23 15 "1" "1" "20141029" "SAC" "GSW"
"4" "Shot Chart Detail" "0021400014" "205" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "6" "43" "Made Shot" "Driving Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 1 -11 7 "1" "1" "20141029" "SAC" "GSW"
"5" "Shot Chart Detail" "0021400014" "227" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "5" "36" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Left Side Center(LC)" "24+ ft." 24 -164 187 "1" "0" "20141029" "SAC" "GSW"
"6" "Shot Chart Detail" "0021400014" "238" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "4" "59" "Missed Shot" "Jump Shot" "2PT Field Goal" "In The Paint (Non-RA)" "Center(C)" "8-16 ft." 10 -4 102 "1" "0" "20141029" "SAC" "GSW"
"7" "Shot Chart Detail" "0021400014" "305" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "1" "6" "Missed Shot" "Jump Shot" "2PT Field Goal" "In The Paint (Non-RA)" "Left Side(L)" "8-16 ft." 8 -78 34 "1" "0" "20141029" "SAC" "GSW"
"8" "Shot Chart Detail" "0021400014" "349" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "10" "18" "Missed Shot" "Jump Shot" "3PT Field Goal" "Left Corner 3" "Left Side(L)" "24+ ft." 23 -229 26 "1" "0" "20141029" "SAC" "GSW"
"9" "Shot Chart Detail" "0021400014" "378" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "8" "2" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Center(C)" "24+ ft." 25 -54 246 "1" "0" "20141029" "SAC" "GSW"
"10" "Shot Chart Detail" "0021400014" "431" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "4" "26" "Made Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Center(C)" "24+ ft." 24 -18 246 "1" "1" "20141029" "SAC" "GSW"
"11" "Shot Chart Detail" "0021400014" "454" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "2" "33" "Missed Shot" "Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 2 18 19 "1" "0" "20141029" "SAC" "GSW"
"12" "Shot Chart Detail" "0021400014" "492" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "0" "42" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Center(C)" "24+ ft." 24 37 247 "1" "0" "20141029" "SAC" "GSW"
"13" "Shot Chart Detail" "0021400014" "566" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "5" "58" "Made Shot" "Driving Layup Shot" "2PT Field Goal" "In The Paint (Non-RA)" "Center(C)" "Less Than 8 ft." 4 34 22 "1" "1" "20141029" "SAC" "GSW"
"14" "Shot Chart Detail" "0021400014" "588" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "3" "27" "Made Shot" "Driving Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 3 -26 17 "1" "1" "20141029" "SAC" "GSW"
"15" "Shot Chart Detail" "0021400014" "599" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "2" "12" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Left Side Center(LC)" "24+ ft." 25 -164 200 "1" "0" "20141029" "SAC" "GSW"
"16" "Shot Chart Detail" "0021400014" "605" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "1" "31" "Made Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Right Side Center(RC)" "24+ ft." 24 225 99 "1" "1" "20141029" "SAC" "GSW"
"17" "Shot Chart Detail" "0021400014" "615" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "0" "30" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Right Side Center(RC)" "24+ ft." 24 209 126 "1" "0" "20141029" "SAC" "GSW"
"18" "Shot Chart Detail" "0021400038" "8" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "10" "44" "Missed Shot" "Jump Shot" "2PT Field Goal" "In The Paint (Non-RA)" "Center(C)" "Less Than 8 ft." 4 -23 36 "1" "0" "20141101" "GSW" "LAL"
"19" "Shot Chart Detail" "0021400038" "41" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "6" "52" "Made Shot" "Pullup Jump shot" "2PT Field Goal" "Mid-Range" "Left Side Center(LC)" "16-24 ft." 19 -138 132 "1" "1" "20141101" "GSW" "LAL"
"20" "Shot Chart Detail" "0021400038" "47" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "6" "21" "Missed Shot" "Step Back Jump shot" "3PT Field Goal" "Above the Break 3" "Center(C)" "24+ ft." 25 0 254 "1" "0" "20141101" "GSW" "LAL"
"21" "Shot Chart Detail" "0021400038" "50" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "6" "3" "Missed Shot" "Jump Shot" "2PT Field Goal" "In The Paint (Non-RA)" "Center(C)" "Less Than 8 ft." 7 62 37 "1" "0" "20141101" "GSW" "LAL"
"22" "Shot Chart Detail" "0021400038" "62" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "5" "2" "Made Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Left Side Center(LC)" "24+ ft." 26 -123 230 "1" "1" "20141101" "GSW" "LAL"
"23" "Shot Chart Detail" "0021400038" "77" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "3" "46" "Made Shot" "Turnaround Bank shot" "2PT Field Goal" "Mid-Range" "Left Side(L)" "16-24 ft." 18 -153 108 "1" "1" "20141101" "GSW" "LAL"
"24" "Shot Chart Detail" "0021400038" "79" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "3" "19" "Made Shot" "Floating Jump shot" "2PT Field Goal" "In The Paint (Non-RA)" "Center(C)" "8-16 ft." 11 -37 108 "1" "1" "20141101" "GSW" "LAL"
"25" "Shot Chart Detail" "0021400038" "88" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "2" "11" "Made Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Left Side Center(LC)" "24+ ft." 26 -123 230 "1" "1" "20141101" "GSW" "LAL"
"26" "Shot Chart Detail" "0021400038" "94" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "0" "48" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Center(C)" "24+ ft." 26 -76 257 "1" "0" "20141101" "GSW" "LAL"
"27" "Shot Chart Detail" "0021400038" "212" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "4" "12" "Made Shot" "Turnaround Bank shot" "2PT Field Goal" "In The Paint (Non-RA)" "Center(C)" "Less Than 8 ft." 6 48 45 "1" "1" "20141101" "GSW" "LAL"
"28" "Shot Chart Detail" "0021400038" "253" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "1" "3" "Missed Shot" "Turnaround Jump Shot" "2PT Field Goal" "Mid-Range" "Right Side(R)" "8-16 ft." 14 140 26 "1" "0" "20141101" "GSW" "LAL"
"29" "Shot Chart Detail" "0021400038" "290" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "11" "29" "Missed Shot" "Step Back Jump shot" "3PT Field Goal" "Above the Break 3" "Right Side Center(RC)" "24+ ft." 24 177 173 "1" "0" "20141101" "GSW" "LAL"
"30" "Shot Chart Detail" "0021400038" "321" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "7" "46" "Missed Shot" "Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 2 18 22 "1" "0" "20141101" "GSW" "LAL"
"31" "Shot Chart Detail" "0021400038" "330" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "6" "36" "Made Shot" "Driving Reverse Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 1 15 9 "1" "1" "20141101" "GSW" "LAL"
"32" "Shot Chart Detail" "0021400038" "341" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "5" "8" "Made Shot" "Step Back Jump shot" "3PT Field Goal" "Above the Break 3" "Right Side Center(RC)" "24+ ft." 27 159 224 "1" "1" "20141101" "GSW" "LAL"
"33" "Shot Chart Detail" "0021400038" "371" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "3" "27" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Right Side Center(RC)" "24+ ft." 26 91 252 "1" "0" "20141101" "GSW" "LAL"
"34" "Shot Chart Detail" "0021400038" "453" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "7" "2" "Made Shot" "Floating Jump shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 3 0 37 "1" "1" "20141101" "GSW" "LAL"
"35" "Shot Chart Detail" "0021400038" "459" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "6" "28" "Missed Shot" "Pullup Jump shot" "3PT Field Goal" "Above the Break 3" "Right Side Center(RC)" "24+ ft." 26 144 228 "1" "0" "20141101" "GSW" "LAL"
"36" "Shot Chart Detail" "0021400038" "522" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "4" "2" "15" "Made Shot" "Turnaround Fadeaway shot" "2PT Field Goal" "Mid-Range" "Right Side(R)" "8-16 ft." 12 121 14 "1" "1" "20141101" "GSW" "LAL"
"37" "Shot Chart Detail" "0021400042" "8" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "10" "56" "Missed Shot" "Jump Bank Shot" "2PT Field Goal" "Mid-Range" "Right Side(R)" "16-24 ft." 18 157 93 "1" "0" "20141102" "POR" "GSW"
"38" "Shot Chart Detail" "0021400042" "38" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "9" "23" "Made Shot" "Pullup Jump shot" "3PT Field Goal" "Above the Break 3" "Center(C)" "24+ ft." 24 -51 242 "1" "1" "20141102" "POR" "GSW"
"39" "Shot Chart Detail" "0021400042" "47" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "8" "11" "Made Shot" "Reverse Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 1 -15 3 "1" "1" "20141102" "POR" "GSW"
"40" "Shot Chart Detail" "0021400042" "50" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "7" "44" "Made Shot" "Pullup Jump shot" "2PT Field Goal" "Mid-Range" "Center(C)" "8-16 ft." 14 21 148 "1" "1" "20141102" "POR" "GSW"
"41" "Shot Chart Detail" "0021400042" "75" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "5" "53" "Missed Shot" "Jump Shot" "3PT Field Goal" "Above the Break 3" "Right Side Center(RC)" "24+ ft." 26 124 235 "1" "0" "20141102" "POR" "GSW"
"42" "Shot Chart Detail" "0021400042" "94" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "1" "4" "10" "Missed Shot" "Jump Shot" "2PT Field Goal" "Mid-Range" "Left Side Center(LC)" "16-24 ft." 20 -103 173 "1" "0" "20141102" "POR" "GSW"
"43" "Shot Chart Detail" "0021400042" "214" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "4" "57" "Made Shot" "Pullup Jump shot" "2PT Field Goal" "Mid-Range" "Center(C)" "16-24 ft." 21 -16 211 "1" "1" "20141102" "POR" "GSW"
"44" "Shot Chart Detail" "0021400042" "216" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "4" "20" "Missed Shot" "Jump Shot" "2PT Field Goal" "Mid-Range" "Left Side Center(LC)" "16-24 ft." 19 -82 179 "1" "0" "20141102" "POR" "GSW"
"45" "Shot Chart Detail" "0021400042" "240" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "2" "47" "Missed Shot" "Driving Finger Roll Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 1 -15 -2 "1" "0" "20141102" "POR" "GSW"
"46" "Shot Chart Detail" "0021400042" "280" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "2" "0" "20" "Missed Shot" "Pullup Jump shot" "2PT Field Goal" "Mid-Range" "Left Side(L)" "16-24 ft." 19 -194 41 "1" "0" "20141102" "POR" "GSW"
"47" "Shot Chart Detail" "0021400042" "292" "201939" "Stephen Curry" "1610612744" "Golden State Warriors" "3" "10" "53" "Missed Shot" "Driving Layup Shot" "2PT Field Goal" "Restricted Area" "Center(C)" "Less Than 8 ft." 0 9 0 "1" "0" "20141102" "POR" "GSW"
