"year" "female" "male" "party"
1971 5.1 3.6 "Conservative"
1972 5.1 3.9 "Conservative"
1973 4.8 3 "Conservative"
1974 4.7 3 "Labour"
1975 5.1 4.1 "Labour"
1976 5.8 5.1 "Labour"
1977 6.2 5.2 "Labour"
1978 6.2 5.1 "Labour"
1979 6.2 4.8 "Conservative"
1980 7.1 6.6 "Conservative"
1981 8.8 10.2 "Conservative"
1982 9.5 11.5 "Conservative"
1983 10.5 12.1 "Conservative"
1984 11.6 11.9 "Conservative"
1985 10.9 11.6 "Conservative"
1986 10.9 11.7 "Conservative"
1987 10 10.8 "Conservative"
1988 8.3 8.8 "Conservative"
1989 7.1 7.3 "Conservative"
1990 6.8 7.4 "Conservative"
1991 7.5 9.9 "Conservative"
1992 7.7 11.8 "Conservative"
1993 7.9 12.3 "Conservative"
1994 7.4 11.2 "Conservative"
1995 6.8 10 "Conservative"
1996 6.4 9.4 "Conservative"
1997 5.9 7.9 "Labour"
1998 5.4 6.9 "Labour"
1999 5.2 6.6 "Labour"
2000 4.9 5.9 "Labour"
2001 4.4 5.6 "Labour"
2002 4.5 5.7 "Labour"
2003 4.4 5.6 "Labour"
2004 4.3 5.1 "Labour"
2005 4.4 5.2 "Labour"
2006 5.1 5.8 "Labour"
2007 5 5.6 "Labour"
2008 5.2 6.2 "Labour"
2009 6.5 8.6 "Labour"
2010 6.9 8.7 "Labour"
2011 7.4 8.7 "Conservative"
2012 7.5 8.4 "Conservative"
2013 7.1 8.1 "Conservative"
2014 5.9 6.4 "Conservative"
2015 5.2 5.5 "Conservative"
2016 4.8 5 "Conservative"
2017 4.3 4.5 "Conservative"
