"Date" "Party" "Freq"
"2014-04-25" "ANEL" 11
"2014-04-26" "ANEL" 36
"2014-04-27" "ANEL" 70
"2014-04-28" "ANEL" 247
"2014-04-29" "ANEL" 177
"2014-04-30" "ANEL" 79
"2014-05-01" "ANEL" 58
"2014-05-02" "ANEL" 87
"2014-05-03" "ANEL" 182
"2014-05-04" "ANEL" 356
"2014-05-05" "ANEL" 161
"2014-05-06" "ANEL" 306
"2014-05-07" "ANEL" 404
"2014-05-09" "ANEL" 10
"2014-05-10" "ANEL" 269
"2014-05-11" "ANEL" 250
"2014-05-12" "ANEL" 295
"2014-05-13" "ANEL" 78
"2014-05-14" "ANEL" 64
"2014-05-15" "ANEL" 74
"2014-05-16" "ANEL" 56
"2014-05-17" "ANEL" 90
"2014-05-18" "ANEL" 677
"2014-05-19" "ANEL" 301
"2014-05-20" "ANEL" 505
"2014-05-21" "ANEL" 159
"2014-05-22" "ANEL" 170
"2014-05-23" "ANEL" 204
"2014-05-24" "ANEL" 1039
"2014-05-25" "ANEL" 1242
"2014-05-26" "ANEL" 628
"2014-05-27" "ANEL" 357
"2014-05-28" "ANEL" 275
"2014-05-29" "ANEL" 644
"2014-05-30" "ANEL" 298
"2014-05-31" "ANEL" 184
"2014-06-01" "ANEL" 161
"2014-06-02" "ANEL" 112
"2014-06-03" "ANEL" 940
"2014-06-04" "ANEL" 549
"2014-06-05" "ANEL" 128
"2014-06-06" "ANEL" 212
"2014-06-07" "ANEL" 91
"2014-06-08" "ANEL" 86
"2014-06-09" "ANEL" 100
"2014-06-10" "ANEL" 67
"2014-06-11" "ANEL" 83
"2014-06-12" "ANEL" 66
"2014-06-13" "ANEL" 117
"2014-06-14" "ANEL" 172
"2014-06-15" "ANEL" 282
"2014-06-16" "ANEL" 91
"2014-06-17" "ANEL" 67
"2014-06-18" "ANEL" 127
"2014-06-19" "ANEL" 166
"2014-06-20" "ANEL" 42
"2014-06-22" "ANEL" 3
"2014-06-23" "ANEL" 21
"2014-06-24" "ANEL" 40
"2014-06-25" "ANEL" 83
"2014-06-26" "ANEL" 91
"2014-06-27" "ANEL" 38
"2014-06-28" "ANEL" 18
"2014-06-29" "ANEL" 27
"2014-06-30" "ANEL" 35
"2014-07-01" "ANEL" 45
"2014-07-02" "ANEL" 29
"2014-07-03" "ANEL" 153
"2014-07-04" "ANEL" 49
"2014-07-05" "ANEL" 65
"2014-07-06" "ANEL" 44
"2014-07-07" "ANEL" 69
"2014-07-08" "ANEL" 41
"2014-07-09" "ANEL" 259
"2014-07-10" "ANEL" 465
"2014-07-11" "ANEL" 164
"2014-07-12" "ANEL" 15
"2014-07-13" "ANEL" 27
"2014-07-14" "ANEL" 15
"2014-07-15" "ANEL" 36
"2014-07-16" "ANEL" 44
"2014-07-17" "ANEL" 50
"2014-07-18" "ANEL" 52
"2014-07-19" "ANEL" 40
"2014-07-20" "ANEL" 23
"2014-07-21" "ANEL" 49
"2014-07-22" "ANEL" 233
"2014-07-23" "ANEL" 81
"2014-07-24" "ANEL" 216
"2014-07-25" "ANEL" 35
"2014-07-26" "ANEL" 15
"2014-07-27" "ANEL" 57
"2014-07-28" "ANEL" 0
"2014-07-29" "ANEL" 0
"2014-07-30" "ANEL" 0
"2014-07-31" "ANEL" 107
"2014-08-01" "ANEL" 49
"2014-08-02" "ANEL" 30
"2014-08-03" "ANEL" 14
"2014-08-04" "ANEL" 28
"2014-08-05" "ANEL" 58
"2014-08-06" "ANEL" 31
"2014-08-07" "ANEL" 107
"2014-08-08" "ANEL" 37
"2014-08-09" "ANEL" 31
"2014-08-10" "ANEL" 18
"2014-08-11" "ANEL" 47
"2014-08-12" "ANEL" 19
"2014-08-13" "ANEL" 25
"2014-08-14" "ANEL" 48
"2014-08-24" "ANEL" 78
"2014-08-25" "ANEL" 66
"2014-08-26" "ANEL" 74
"2014-08-27" "ANEL" 45
"2014-08-28" "ANEL" 61
"2014-08-29" "ANEL" 47
"2014-08-30" "ANEL" 85
"2014-09-01" "ANEL" 5
"2014-09-02" "ANEL" 51
"2014-09-03" "ANEL" 27
"2014-09-04" "ANEL" 31
"2014-09-05" "ANEL" 42
"2014-09-06" "ANEL" 31
"2014-09-07" "ANEL" 20
"2014-09-08" "ANEL" 68
"2014-09-09" "ANEL" 100
"2014-09-10" "ANEL" 145
"2014-09-11" "ANEL" 56
"2014-09-12" "ANEL" 27
"2014-09-13" "ANEL" 31
"2014-09-14" "ANEL" 23
"2014-09-15" "ANEL" 50
"2014-09-16" "ANEL" 73
"2014-09-17" "ANEL" 67
"2014-09-18" "ANEL" 43
"2014-09-19" "ANEL" 41
"2014-09-20" "ANEL" 33
"2014-09-21" "ANEL" 125
"2014-09-22" "ANEL" 114
"2014-09-24" "ANEL" 15
"2014-09-25" "ANEL" 104
"2014-09-26" "ANEL" 307
"2014-09-27" "ANEL" 75
"2014-09-28" "ANEL" 53
"2014-09-29" "ANEL" 92
"2014-09-30" "ANEL" 75
"2014-10-01" "ANEL" 144
"2014-10-02" "ANEL" 190
"2014-10-03" "ANEL" 96
"2014-10-04" "ANEL" 25
"2014-10-05" "ANEL" 99
"2014-10-06" "ANEL" 53
"2014-10-07" "ANEL" 1016
"2014-10-08" "ANEL" 414
"2014-10-09" "ANEL" 101
"2014-10-10" "ANEL" 134
"2014-10-11" "ANEL" 108
"2014-10-12" "ANEL" 60
"2014-10-13" "ANEL" 141
"2014-10-14" "ANEL" 387
"2014-10-15" "ANEL" 266
"2014-10-16" "ANEL" 258
"2014-10-17" "ANEL" 150
"2014-10-18" "ANEL" 160
"2014-10-19" "ANEL" 50
"2014-10-20" "ANEL" 113
"2014-10-21" "ANEL" 135
"2014-10-24" "ANEL" 184
"2014-10-25" "ANEL" 136
"2014-10-26" "ANEL" 157
"2014-10-27" "ANEL" 118
"2014-10-28" "ANEL" 68
"2014-10-29" "ANEL" 48
"2014-10-30" "ANEL" 86
"2014-10-31" "ANEL" 65
"2014-11-01" "ANEL" 41
"2014-11-02" "ANEL" 34
"2014-11-03" "ANEL" 74
"2014-11-04" "ANEL" 122
"2014-11-05" "ANEL" 288
"2014-11-06" "ANEL" 216
"2014-11-07" "ANEL" 103
"2014-11-08" "ANEL" 54
"2014-11-10" "ANEL" 128
"2014-11-11" "ANEL" 258
"2014-11-12" "ANEL" 98
"2014-11-13" "ANEL" 107
"2014-11-14" "ANEL" 69
"2014-11-15" "ANEL" 73
"2014-11-16" "ANEL" 116
"2014-11-17" "ANEL" 92
"2014-11-18" "ANEL" 178
"2014-11-19" "ANEL" 254
"2014-11-20" "ANEL" 365
"2014-11-21" "ANEL" 353
"2014-11-22" "ANEL" 391
"2014-11-23" "ANEL" 636
"2014-11-24" "ANEL" 242
"2014-11-25" "ANEL" 608
"2014-11-26" "ANEL" 684
"2014-11-27" "ANEL" 412
"2014-11-28" "ANEL" 153
"2014-11-29" "ANEL" 102
"2014-11-30" "ANEL" 69
"2014-12-01" "ANEL" 511
"2014-12-02" "ANEL" 269
"2014-12-03" "ANEL" 370
"2014-12-04" "ANEL" 117
"2014-12-05" "ANEL" 103
"2014-12-06" "ANEL" 60
"2014-12-07" "ANEL" 89
"2014-12-08" "ANEL" 166
"2014-12-09" "ANEL" 526
"2014-12-10" "ANEL" 233
"2014-12-11" "ANEL" 542
"2014-12-12" "ANEL" 359
"2014-12-13" "ANEL" 328
"2014-12-14" "ANEL" 177
"2014-12-15" "ANEL" 281
"2014-12-16" "ANEL" 355
"2014-12-17" "ANEL" 382
"2014-12-18" "ANEL" 213
"2014-12-19" "ANEL" 2489
"2014-12-20" "ANEL" 1572
"2014-12-21" "ANEL" 791
"2014-12-22" "ANEL" 828
"2014-12-23" "ANEL" 404
"2014-12-24" "ANEL" 95
"2014-12-25" "ANEL" 250
"2014-12-26" "ANEL" 180
"2014-12-27" "ANEL" 596
"2014-12-28" "ANEL" 138
"2014-12-29" "ANEL" 560
"2014-12-30" "ANEL" 313
"2014-12-31" "ANEL" 269
"2015-01-01" "ANEL" 179
"2015-01-02" "ANEL" 378
"2015-01-03" "ANEL" 428
"2015-01-04" "ANEL" 299
"2015-01-05" "ANEL" 288
"2015-01-06" "ANEL" 318
"2015-01-07" "ANEL" 277
"2015-01-08" "ANEL" 307
"2015-01-09" "ANEL" 568
"2015-01-10" "ANEL" 382
"2015-01-11" "ANEL" 335
"2015-01-12" "ANEL" 1541
"2015-01-13" "ANEL" 773
"2015-01-14" "ANEL" 715
"2015-01-15" "ANEL" 569
"2015-01-16" "ANEL" 596
"2015-01-17" "ANEL" 456
"2015-01-18" "ANEL" 400
"2015-01-19" "ANEL" 419
"2015-01-20" "ANEL" 478
"2015-01-21" "ANEL" 620
"2014-04-25" "DIMAR" 145
